"ID","Category","Nr","VerticalHorizontal","Women_Valence","Women_Arousal","Men_Valence","Men_Arousal","Width","Height","Luminance","Contrast","JPEG_size80","LABL","LABA","LABB","Entropy","Description","Type"
"Male_001_v.jpg","Male",1,"v",5.7,4.55,4.25,3.7,1200,1600,146.933,72.0716,265152,60.0397,4.5447,6.449,7.7395,NA,"Erotic"
"Male_002_v.jpg","Male",2,"v",6,4.65,4,2.85,1200,1600,103.1037,65.8985,221793,42.743,11.6582,-3.6073,7.7155,NA,"Erotic"
"Male_003_v.jpg","Male",3,"v",6.25,5,4.2,3.65,1200,1600,110.6571,49.4077,228056,46.1739,3.5967,7.3901,7.4926,NA,"Erotic"
"Male_004_v.jpg","Male",4,"v",6.5,4.35,4.85,3.2,1200,1600,76.7098,68.2319,210323,31.1509,-0.2366,7.0839,7.0933,NA,"Erotic"
"Male_005_v.jpg","Male",5,"v",5.5,4.4,3.2,4.75,1200,1600,45.0897,43.8873,170084,19.09,11.4089,17.2027,6.7516,NA,"Erotic"
"Male_006_v.jpg","Male",6,"v",4.45,4.85,2.95,4.8,1200,1600,61.9878,40.1914,206880,26.1872,7.5483,10.2363,7.0614,NA,"Erotic"
"Male_007_h.jpg","Male",7,"h",4.95,4.1,3.3,4.05,1600,1200,119.5987,54.4775,469938,50.1922,3.1066,14.9059,7.6965,NA,"Erotic"
"Male_008_v.jpg","Male",8,"v",5.75,4.7,3.4,4.45,1200,1600,118.5186,61.1046,207491,49.8422,14.1516,16.1108,7.609,NA,"Erotic"
"Male_009_v.jpg","Male",9,"v",6.15,4.85,4.45,2.85,1200,1600,100.9133,60.8704,271374,43.2111,13.4711,15.6762,7.489,NA,"Erotic"
"Male_010_v.jpg","Male",10,"v",5.35,3.8,3.85,3.75,1200,1600,146.375,67.3991,160848,59.9546,6.5991,11.7406,7.2976,NA,"Erotic"
"Male_011_v.jpg","Male",11,"v",5.4,4.5,4.6,3.15,1200,1600,97.7019,66.7949,265717,40.2007,8.1808,11.1864,7.44,NA,"Erotic"
"Male_012_h.jpg","Male",12,"h",5.25,3.75,3.55,2.95,1600,1200,188.8783,43.9723,331233,76.3947,4.1326,8.2885,7.2393,NA,"Erotic"
"Male_013_v.jpg","Male",13,"v",6.25,5.3,3.7,3.75,1200,1600,106.6658,86.7349,293448,44.0686,11.5375,24.8859,7.4514,NA,"Erotic"
"Male_014_v.jpg","Male",14,"v",6.05,5,3.6,3.95,1200,1600,180.0477,48.9227,151861,73.0604,3.9097,2.0474,7.2601,NA,"Erotic"
